url,repo_name,watchers,stars,forks,commits,branches,releases,contributors,,
https://github.com/facebook/fresco,fresco,953,14105,3510,1,589,8,32,,
https://github.com/facebook/litho,litho,130,4486,352,6,976,4,16,,
https://github.com/facebook/network-connection-class,network-connection-class,248,2516,422,19,2,2,5,,
https://github.com/facebook/react-native-fbsdk,react-native-fbsdk,72,1770,497,167,3,20,48,,
https://github.com/facebook/rebound,rebound,388,4955,825,125,5,10,,,
https://github.com/facebook/shimmer-android,shimmer-android,169,2533,450,15,2,1,,,
https://github.com/facebook/stetho,stetho,364,9218,841,527,4,11,42,,
https://github.com/fanrunqi/MaterialLogin,MaterialLogin,51,1760,343,32,1,0,,,
https://github.com/FasterXML/jackson-databind,jackson-databind,129,1563,640,4,574,17,102,,
https://github.com/felipecsl/AsymmetricGridView,AsymmetricGridView,83,1505,403,132,3,0,3,,
https://github.com/fengjundev/Android-Skin-Loader,Android-Skin-Loader,68,1678,372,70,1,0,2,,
https://github.com/FinalTeam/RxGalleryFinal,RxGalleryFinal,67,1788,341,254,3,1,,,
https://github.com/firebase/FirebaseUI-Android,FirebaseUI-Android,249,2475,1000,1,124,47,37,,
https://github.com/firebase/quickstart-android,quickstart-android,312,3242,3348,441,10,0,31,,
https://github.com/flavienlaurent/datetimepicker,datetimepicker,103,1880,637,73,1,0,8,,
https://github.com/flavienlaurent/NotBoringActionBar,NotBoringActionBar,93,1732,464,22,1,0,4,,
https://github.com/flavioarfaria/KenBurnsView,KenBurnsView,79,2108,368,111,2,8,,,
https://github.com/Flipboard/bottomsheet,bottomsheet,146,3614,513,163,2,11,18,,
https://github.com/florent37/CameraFragment,CameraFragment,63,1702,300,61,1,5,8,,
https://github.com/florent37/DiagonalLayout,DiagonalLayout,50,2185,293,56,2,2,4,,
https://github.com/florent37/ExpectAnim,ExpectAnim,74,2358,202,64,3,3,4,,
https://github.com/florent37/MaterialViewPager,MaterialViewPager,275,7040,1366,305,5,12,20,,
https://github.com/florent37/ViewAnimator,ViewAnimator,65,1857,329,65,2,3,7,,
https://github.com/flyway/flyway,flyway,145,2741,721,1,993,1,26,,
https://github.com/fqrouter/fqrouter,fqrouter,268,1871,589,1,47,2,1,,
https://github.com/Frank-Zhu/PullZoomView,PullZoomView,76,2128,639,27,2,1,,,
